webpush;1001;TCP;HTTP Web Push
netdb-export;1329;TCP;netdb-export
netdb-export;1329;UDP;netdb-export
streetperfect;1330;TCP;StreetPerfect
streetperfect;1330;UDP;StreetPerfect
intersan;1331;TCP;intersan
intersan;1331;UDP;intersan
pcia-rxp-b;1332;TCP;PCIA RXP-B
pcia-rxp-b;1332;UDP;PCIA RXP-B
passwrd-policy;1333;TCP;Password Policy
passwrd-policy;1333;UDP;Password Policy
writesrv;1334;TCP;writesrv
writesrv;1334;UDP;writesrv
digital-notary;1335;TCP;Digital Notary Protocol
digital-notary;1335;UDP;Digital Notary Protocol
ischat;1336;TCP;Instant Service Chat
ischat;1336;UDP;Instant Service Chat
menandmice-dns;1337;TCP;menandmice DNS
menandmice-dns;1337;UDP;menandmice DNS
wmc-log-svc;1338;TCP;WMC-log-svr
wmc-log-svc;1338;UDP;WMC-log-svr
kjtsiteserver;1339;TCP;kjtsiteserver
kjtsiteserver;1339;UDP;kjtsiteserver
naap;1340;TCP;NAAP
naap;1340;UDP;NAAP
qubes;1341;TCP;QuBES
qubes;1341;UDP;QuBES
esbroker;1342;TCP;ESBroker
esbroker;1342;UDP;ESBroker
re101;1343;TCP;re101
re101;1343;UDP;re101
icap;1344;TCP;ICAP
icap;1344;UDP;ICAP
vpjp;1345;TCP;VPJP
vpjp;1345;UDP;VPJP
alta-ana-lm;1346;TCP;Alta Analytics License Manager
alta-ana-lm;1346;UDP;Alta Analytics License Manager
bbn-mmc;1347;TCP;multi media conferencing
bbn-mmc;1347;UDP;multi media conferencing
bbn-mmx;1348;TCP;multi media conferencing
bbn-mmx;1348;UDP;multi media conferencing
sbook;1349;TCP;Registration Network Protocol
sbook;1349;UDP;Registration Network Protocol
editbench;1350;TCP;Registration Network Protocol
editbench;1350;UDP;Registration Network Protocol
equationbuilder;1351;TCP;Digital Tool Works (MIT)
equationbuilder;1351;UDP;Digital Tool Works (MIT)
lotusnote;1352;TCP;Lotus Note
lotusnote;1352;UDP;Lotus Note
relief;1353;TCP;Relief Consulting
relief;1353;UDP;Relief Consulting
XSIP-network;1354;TCP;Five Across XSIP Network
XSIP-network;1354;UDP;Five Across XSIP Network
intuitive-edge;1355;TCP;Intuitive Edge
intuitive-edge;1355;UDP;Intuitive Edge
cuillamartin;1356;TCP;CuillaMartin Company
cuillamartin;1356;UDP;CuillaMartin Company
pegboard;1357;TCP;Electronic PegBoard
pegboard;1357;UDP;Electronic PegBoard
connlcli;1358;TCP;CONNLCLI
connlcli;1358;UDP;CONNLCLI
ftsrv;1359;TCP;FTSRV
ftsrv;1359;UDP;FTSRV
mimer;1360;TCP;MIMER
mimer;1360;UDP;MIMER
linx;1361;TCP;LinX
linx;1361;UDP;LinX
timeflies;1362;TCP;TimeFlies
timeflies;1362;UDP;TimeFlies
ndm-requester;1363;TCP;Network DataMover Requester
ndm-requester;1363;UDP;Network DataMover Requester
ndm-server;1364;TCP;Network DataMover Server
ndm-server;1364;UDP;Network DataMover Server
adapt-sna;1365;TCP;Network Software Associates
adapt-sna;1365;UDP;Network Software Associates
netware-csp;1366;TCP;Novell NetWare Comm Service Platform
netware-csp;1366;UDP;Novell NetWare Comm Service Platform
dcs;1367;TCP;DCS
dcs;1367;UDP;DCS
screencast;1368;TCP;ScreenCast
screencast;1368;UDP;ScreenCast
gv-us;1369;TCP;GlobalView to Unix Shell
gv-us;1369;UDP;GlobalView to Unix Shell
us-gv;1370;TCP;Unix Shell to GlobalView
us-gv;1370;UDP;Unix Shell to GlobalView
fc-cli;1371;TCP;Fujitsu Config Protocol
fc-cli;1371;UDP;Fujitsu Config Protocol
fc-ser;1372;TCP;Fujitsu Config Protocol
fc-ser;1372;UDP;Fujitsu Config Protocol
chromagrafx;1373;TCP;Chromagrafx
chromagrafx;1373;UDP;Chromagrafx
molly;1374;TCP;EPI Software Systems
molly;1374;UDP;EPI Software Systems
bytex;1375;TCP;Bytex
bytex;1375;UDP;Bytex
ibm-pps;1376;TCP;IBM Person to Person Software
ibm-pps;1376;UDP;IBM Person to Person Software
cichlid;1377;TCP;Cichlid License Manager
cichlid;1377;UDP;Cichlid License Manager
elan;1378;TCP;Elan License Manager
elan;1378;UDP;Elan License Manager
dbreporter;1379;TCP;Integrity Solutions
dbreporter;1379;UDP;Integrity Solutions
telesis-licman;1380;TCP;Telesis Network License Manager
telesis-licman;1380;UDP;Telesis Network License Manager
apple-licman;1381;TCP;Apple Network License Manager
apple-licman;1381;UDP;Apple Network License Manager
udt-os;1382;TCP;udt_os
udt_os;1382;TCP;udt_os
udt-os;1382;UDP;udt_os
udt_os;1382;UDP;udt_os
gwha;1383;TCP;GW Hannaway Network License Manager
gwha;1383;UDP;GW Hannaway Network License Manager
os-licman;1384;TCP;Objective Solutions License Manager
os-licman;1384;UDP;Objective Solutions License Manager
atex-elmd;1385;TCP;Atex Publishing License Manager
atex_elmd;1385;TCP;Atex Publishing License Manager
atex-elmd;1385;UDP;Atex Publishing License Manager
atex_elmd;1385;UDP;Atex Publishing License Manager
checksum;1386;TCP;CheckSum License Manager
checksum;1386;UDP;CheckSum License Manager
cadsi-lm;1387;TCP;Computer Aided Design Software Inc LM
cadsi-lm;1387;UDP;Computer Aided Design Software Inc LM
objective-dbc;1388;TCP;Objective Solutions DataBase Cache
objective-dbc;1388;UDP;Objective Solutions DataBase Cache
iclpv-dm;1389;TCP;Document Manager
iclpv-dm;1389;UDP;Document Manager
iclpv-sc;1390;TCP;Storage Controller
iclpv-sc;1390;UDP;Storage Controller
iclpv-sas;1391;TCP;Storage Access Server
iclpv-sas;1391;UDP;Storage Access Server
iclpv-pm;1392;TCP;Print Manager
iclpv-pm;1392;UDP;Print Manager
iclpv-nls;1393;TCP;Network Log Server
iclpv-nls;1393;UDP;Network Log Server
iclpv-nlc;1394;TCP;Network Log Client
iclpv-nlc;1394;UDP;Network Log Client
iclpv-wsm;1395;TCP;PC Workstation Manager software
iclpv-wsm;1395;UDP;PC Workstation Manager software
dvl-activemail;1396;TCP;DVL Active Mail
dvl-activemail;1396;UDP;DVL Active Mail
audio-activmail;1397;TCP;Audio Active Mail
audio-activmail;1397;UDP;Audio Active Mail
video-activmail;1398;TCP;Video Active Mail
video-activmail;1398;UDP;Video Active Mail
cadkey-licman;1399;TCP;Cadkey License Manager
cadkey-licman;1399;UDP;Cadkey License Manager
cadkey-tablet;1400;TCP;Cadkey Tablet Daemon
cadkey-tablet;1400;UDP;Cadkey Tablet Daemon
goldleaf-licman;1401;TCP;Goldleaf License Manager
goldleaf-licman;1401;UDP;Goldleaf License Manager
prm-sm-np;1402;TCP;Prospero Resource Manager
prm-sm-np;1402;UDP;Prospero Resource Manager
prm-nm-np;1403;TCP;Prospero Resource Manager
prm-nm-np;1403;UDP;Prospero Resource Manager
igi-lm;1404;TCP;Infinite Graphics License Manager
igi-lm;1404;UDP;Infinite Graphics License Manager
ibm-res;1405;TCP;IBM Remote Execution Starter
ibm-res;1405;UDP;IBM Remote Execution Starter
netlabs-lm;1406;TCP;NetLabs License Manager
netlabs-lm;1406;UDP;NetLabs License Manager
tibet-server;1407;TCP;TIBET Data Server
Unassigned;1407;UDP;Reserved
sophia-lm;1408;TCP;Sophia License Manager
sophia-lm;1408;UDP;Sophia License Manager
here-lm;1409;TCP;Here License Manager
here-lm;1409;UDP;Here License Manager
hiq;1410;TCP;HiQ License Manager
hiq;1410;UDP;HiQ License Manager
af;1411;TCP;AudioFile
af;1411;UDP;AudioFile
innosys;1412;TCP;InnoSys
innosys;1412;UDP;InnoSys
innosys-acl;1413;TCP;Innosys-ACL
innosys-acl;1413;UDP;Innosys-ACL
ibm-mqseries;1414;TCP;IBM MQSeries
ibm-mqseries;1414;UDP;IBM MQSeries
dbstar;1415;TCP;DBStar
dbstar;1415;UDP;DBStar
novell-lu6-2;1416;TCP;Novell LU6.2
novell-lu6.2;1416;TCP;Novell LU6.2
novell-lu6-2;1416;UDP;Novell LU6.2
novell-lu6.2;1416;UDP;Novell LU6.2
timbuktu-srv1;1417;TCP;Timbuktu Service 1 Port
timbuktu-srv1;1417;UDP;Timbuktu Service 1 Port
timbuktu-srv2;1418;TCP;Timbuktu Service 2 Port
timbuktu-srv2;1418;UDP;Timbuktu Service 2 Port
timbuktu-srv3;1419;TCP;Timbuktu Service 3 Port
timbuktu-srv3;1419;UDP;Timbuktu Service 3 Port
timbuktu-srv4;1420;TCP;Timbuktu Service 4 Port
timbuktu-srv4;1420;UDP;Timbuktu Service 4 Port
gandalf-lm;1421;TCP;Gandalf License Manager
gandalf-lm;1421;UDP;Gandalf License Manager
autodesk-lm;1422;TCP;Autodesk License Manager
autodesk-lm;1422;UDP;Autodesk License Manager
essbase;1423;TCP;Essbase Arbor Software
essbase;1423;UDP;Essbase Arbor Software
hybrid;1424;TCP;Hybrid Encryption Protocol
hybrid;1424;UDP;Hybrid Encryption Protocol
zion-lm;1425;TCP;Zion Software License Manager
zion-lm;1425;UDP;Zion Software License Manager
sais;1426;TCP;Satellite-data Acquisition System 1
sais;1426;UDP;Satellite-data Acquisition System 1
mloadd;1427;TCP;mloadd monitoring tool
mloadd;1427;UDP;mloadd monitoring tool
informatik-lm;1428;TCP;Informatik License Manager
informatik-lm;1428;UDP;Informatik License Manager
nms;1429;TCP;Hypercom NMS
nms;1429;UDP;Hypercom NMS
tpdu;1430;TCP;Hypercom TPDU
tpdu;1430;UDP;Hypercom TPDU
rgtp;1431;TCP;Reverse Gossip Transport
rgtp;1431;UDP;Reverse Gossip Transport
blueberry-lm;1432;TCP;Blueberry Software License Manager
blueberry-lm;1432;UDP;Blueberry Software License Manager
ms-sql-s;1433;TCP;Microsoft-SQL-Server
ms-sql-s;1433;UDP;Microsoft-SQL-Server
ms-sql-m;1434;TCP;Microsoft-SQL-Monitor
ms-sql-m;1434;UDP;Microsoft-SQL-Monitor
ibm-cics;1435;TCP;IBM CICS
ibm-cics;1435;UDP;IBM CICS
saism;1436;TCP;Satellite-data Acquisition System 2
saism;1436;UDP;Satellite-data Acquisition System 2
tabula;1437;TCP;Tabula
tabula;1437;UDP;Tabula
eicon-server;1438;TCP;Eicon Security Agent/Server
eicon-server;1438;UDP;Eicon Security Agent/Server
eicon-x25;1439;TCP;Eicon X25/SNA Gateway
eicon-x25;1439;UDP;Eicon X25/SNA Gateway
eicon-slp;1440;TCP;Eicon Service Location Protocol
eicon-slp;1440;UDP;Eicon Service Location Protocol
cadis-1;1441;TCP;Cadis License Management
cadis-1;1441;UDP;Cadis License Management
cadis-2;1442;TCP;Cadis License Management
cadis-2;1442;UDP;Cadis License Management
ies-lm;1443;TCP;Integrated Engineering Software
ies-lm;1443;UDP;Integrated Engineering Software
marcam-lm;1444;TCP;Marcam License Management
marcam-lm;1444;UDP;Marcam License Management
proxima-lm;1445;TCP;Proxima License Manager
proxima-lm;1445;UDP;Proxima License Manager
ora-lm;1446;TCP;Optical Research Associates License Manager
ora-lm;1446;UDP;Optical Research Associates License Manager
apri-lm;1447;TCP;Applied Parallel Research LM
apri-lm;1447;UDP;Applied Parallel Research LM
oc-lm;1448;TCP;OpenConnect License Manager
oc-lm;1448;UDP;OpenConnect License Manager
peport;1449;TCP;PEport
peport;1449;UDP;PEport
dwf;1450;TCP;Tandem Distributed Workbench Facility
dwf;1450;UDP;Tandem Distributed Workbench Facility
infoman;1451;TCP;IBM Information Management
infoman;1451;UDP;IBM Information Management
gtegsc-lm;1452;TCP;GTE Government Systems License Man
gtegsc-lm;1452;UDP;GTE Government Systems License Man
genie-lm;1453;TCP;Genie License Manager
genie-lm;1453;UDP;Genie License Manager
interhdl-elmd;1454;TCP;interHDL License Manager
interhdl_elmd;1454;TCP;interHDL License Manager
interhdl-elmd;1454;UDP;interHDL License Manager
interhdl_elmd;1454;UDP;interHDL License Manager
esl-lm;1455;TCP;ESL License Manager
esl-lm;1455;UDP;ESL License Manager
dca;1456;TCP;DCA
dca;1456;UDP;DCA
valisys-lm;1457;TCP;Valisys License Manager
valisys-lm;1457;UDP;Valisys License Manager
nrcabq-lm;1458;TCP;Nichols Research Corp.
nrcabq-lm;1458;UDP;Nichols Research Corp.
proshare1;1459;TCP;Proshare Notebook Application
proshare1;1459;UDP;Proshare Notebook Application
proshare2;1460;TCP;Proshare Notebook Application
proshare2;1460;UDP;Proshare Notebook Application
ibm-wrless-lan;1461;TCP;IBM Wireless LAN
ibm_wrless_lan;1461;TCP;IBM Wireless LAN
ibm-wrless-lan;1461;UDP;IBM Wireless LAN
ibm_wrless_lan;1461;UDP;IBM Wireless LAN
world-lm;1462;TCP;World License Manager
world-lm;1462;UDP;World License Manager
nucleus;1463;TCP;Nucleus
nucleus;1463;UDP;Nucleus
msl-lmd;1464;TCP;MSL License Manager
msl_lmd;1464;TCP;MSL License Manager
msl-lmd;1464;UDP;MSL License Manager
msl_lmd;1464;UDP;MSL License Manager
pipes;1465;TCP;Pipes Platform
pipes;1465;UDP;Pipes Platform
oceansoft-lm;1466;TCP;Ocean Software License Manager
oceansoft-lm;1466;UDP;Ocean Software License Manager
csdmbase;1467;TCP;CSDMBASE
csdmbase;1467;UDP;CSDMBASE
csdm;1468;TCP;CSDM
csdm;1468;UDP;CSDM
aal-lm;1469;TCP;Active Analysis Limited License Manager
aal-lm;1469;UDP;Active Analysis Limited License Manager
uaiact;1470;TCP;Universal Analytics
uaiact;1470;UDP;Universal Analytics
csdmbase;1471;TCP;csdmbase
csdmbase;1471;UDP;csdmbase
csdm;1472;TCP;csdm
csdm;1472;UDP;csdm
openmath;1473;TCP;OpenMath
openmath;1473;UDP;OpenMath
telefinder;1474;TCP;Telefinder
telefinder;1474;UDP;Telefinder
taligent-lm;1475;TCP;Taligent License Manager
taligent-lm;1475;UDP;Taligent License Manager
clvm-cfg;1476;TCP;clvm-cfg
clvm-cfg;1476;UDP;clvm-cfg
ms-sna-server;1477;TCP;ms-sna-server
ms-sna-server;1477;UDP;ms-sna-server
ms-sna-base;1478;TCP;ms-sna-base
ms-sna-base;1478;UDP;ms-sna-base
dberegister;1479;TCP;dberegister
dberegister;1479;UDP;dberegister
pacerforum;1480;TCP;PacerForum
pacerforum;1480;UDP;PacerForum
airs;1481;TCP;AIRS
airs;1481;UDP;AIRS
miteksys-lm;1482;TCP;Miteksys License Manager
miteksys-lm;1482;UDP;Miteksys License Manager
afs;1483;TCP;AFS License Manager
afs;1483;UDP;AFS License Manager
confluent;1484;TCP;Confluent License Manager
confluent;1484;UDP;Confluent License Manager
lansource;1485;TCP;LANSource
lansource;1485;UDP;LANSource
nms-topo-serv;1486;TCP;nms_topo_serv
nms_topo_serv;1486;TCP;nms_topo_serv
nms-topo-serv;1486;UDP;nms_topo_serv
nms_topo_serv;1486;UDP;nms_topo_serv
localinfosrvr;1487;TCP;LocalInfoSrvr
localinfosrvr;1487;UDP;LocalInfoSrvr
docstor;1488;TCP;DocStor
docstor;1488;UDP;DocStor
dmdocbroker;1489;TCP;dmdocbroker
dmdocbroker;1489;UDP;dmdocbroker
insitu-conf;1490;TCP;insitu-conf
insitu-conf;1490;UDP;insitu-conf
Unassigned;1491;UDP;Unassigned
stone-design-1;1492;TCP;stone-design-1
stone-design-1;1492;UDP;stone-design-1
netmap-lm;1493;TCP;netmap_lm
netmap_lm;1493;TCP;netmap_lm
netmap-lm;1493;UDP;netmap_lm
netmap_lm;1493;UDP;netmap_lm
ica;1494;TCP;ica
ica;1494;UDP;ica
cvc;1495;TCP;cvc
cvc;1495;UDP;cvc
liberty-lm;1496;TCP;liberty-lm
liberty-lm;1496;UDP;liberty-lm
rfx-lm;1497;TCP;rfx-lm
rfx-lm;1497;UDP;rfx-lm
sybase-sqlany;1498;TCP;Sybase SQL Any
sybase-sqlany;1498;UDP;Sybase SQL Any
fhc;1499;TCP;Federico Heinz Consultora
fhc;1499;UDP;Federico Heinz Consultora
vlsi-lm;1500;TCP;VLSI License Manager
vlsi-lm;1500;UDP;VLSI License Manager
saiscm;1501;TCP;Satellite-data Acquisition System 3
saiscm;1501;UDP;Satellite-data Acquisition System 3
shivadiscovery;1502;TCP;Shiva
shivadiscovery;1502;UDP;Shiva
imtc-mcs;1503;TCP;Databeam
imtc-mcs;1503;UDP;Databeam
evb-elm;1504;TCP;EVB Software Engineering License Manager
evb-elm;1504;UDP;EVB Software Engineering License Manager
funkproxy;1505;TCP;Funk Software, Inc.
funkproxy;1505;UDP;Funk Software, Inc.
utcd;1506;TCP;Universal Time daemon (utcd)
utcd;1506;UDP;Universal Time daemon (utcd)
symplex;1507;TCP;symplex
symplex;1507;UDP;symplex
diagmond;1508;TCP;diagmond
diagmond;1508;UDP;diagmond
robcad-lm;1509;TCP;Robcad, Ltd. License Manager
robcad-lm;1509;UDP;Robcad, Ltd. License Manager
mvx-lm;1510;TCP;Midland Valley Exploration Ltd. Lic. Man.
mvx-lm;1510;UDP;Midland Valley Exploration Ltd. Lic. Man.
3l-l1;1511;TCP;3l-l1
3l-l1;1511;UDP;3l-l1
wins;1512;TCP;Microsoft's Windows Internet Name Service
wins;1512;UDP;Microsoft's Windows Internet Name Service
fujitsu-dtc;1513;TCP;Fujitsu Systems Business of America, Inc
fujitsu-dtc;1513;UDP;Fujitsu Systems Business of America, Inc
fujitsu-dtcns;1514;TCP;Fujitsu Systems Business of America, Inc
fujitsu-dtcns;1514;UDP;Fujitsu Systems Business of America, Inc
ifor-protocol;1515;TCP;ifor-protocol
ifor-protocol;1515;UDP;ifor-protocol
vpad;1516;TCP;Virtual Places Audio data
vpad;1516;UDP;Virtual Places Audio data
vpac;1517;TCP;Virtual Places Audio control
vpac;1517;UDP;Virtual Places Audio control
vpvd;1518;TCP;Virtual Places Video data
vpvd;1518;UDP;Virtual Places Video data
vpvc;1519;TCP;Virtual Places Video control
vpvc;1519;UDP;Virtual Places Video control
atm-zip-office;1520;TCP;atm zip office
atm-zip-office;1520;UDP;atm zip office
ncube-lm;1521;TCP;nCube License Manager
ncube-lm;1521;UDP;nCube License Manager
ricardo-lm;1522;TCP;Ricardo North America License Manager
ricardo-lm;1522;UDP;Ricardo North America License Manager
cichild-lm;1523;TCP;cichild
cichild-lm;1523;UDP;cichild
ingreslock;1524;TCP;ingres
ingreslock;1524;UDP;ingres
orasrv;1525;TCP;oracle
prospero-np;1525;TCP;Prospero Directory Service non-priv
orasrv;1525;UDP;oracle
prospero-np;1525;UDP;Prospero Directory Service non-priv
pdap-np;1526;TCP;Prospero Data Access Prot non-priv
pdap-np;1526;UDP;Prospero Data Access Prot non-priv
tlisrv;1527;TCP;oracle
tlisrv;1527;UDP;oracle
Unassigned;1528;TCP;Reserved
ngr-t;1528;UDP;NGR transport protocol for mobile ad-hoc networks
coauthor;1529;TCP;oracle
coauthor;1529;UDP;oracle
rap-service;1530;TCP;rap-service
rap-service;1530;UDP;rap-service
rap-listen;1531;TCP;rap-listen
rap-listen;1531;UDP;rap-listen
miroconnect;1532;TCP;miroconnect
miroconnect;1532;UDP;miroconnect
virtual-places;1533;TCP;Virtual Places Software
virtual-places;1533;UDP;Virtual Places Software
micromuse-lm;1534;TCP;micromuse-lm
micromuse-lm;1534;UDP;micromuse-lm
ampr-info;1535;TCP;ampr-info
ampr-info;1535;UDP;ampr-info
ampr-inter;1536;TCP;ampr-inter
ampr-inter;1536;UDP;ampr-inter
sdsc-lm;1537;TCP;isi-lm
sdsc-lm;1537;UDP;isi-lm
3ds-lm;1538;TCP;3ds-lm
3ds-lm;1538;UDP;3ds-lm
intellistor-lm;1539;TCP;Intellistor License Manager
intellistor-lm;1539;UDP;Intellistor License Manager
rds;1540;TCP;rds
rds;1540;UDP;rds
rds2;1541;TCP;rds2
rds2;1541;UDP;rds2
gridgen-elmd;1542;TCP;gridgen-elmd
gridgen-elmd;1542;UDP;gridgen-elmd
simba-cs;1543;TCP;simba-cs
simba-cs;1543;UDP;simba-cs
aspeclmd;1544;TCP;aspeclmd
aspeclmd;1544;UDP;aspeclmd
vistium-share;1545;TCP;vistium-share
vistium-share;1545;UDP;vistium-share
abbaccuray;1546;TCP;abbaccuray
abbaccuray;1546;UDP;abbaccuray
laplink;1547;TCP;laplink
laplink;1547;UDP;laplink
axon-lm;1548;TCP;Axon License Manager
axon-lm;1548;UDP;Axon License Manager
shivahose;1549;TCP;Shiva Hose
shivasound;1549;UDP;Shiva Sound
3m-image-lm;1550;TCP;Image Storage license manager 3M Company
3m-image-lm;1550;UDP;Image Storage license manager 3M Company
hecmtl-db;1551;TCP;HECMTL-DB
hecmtl-db;1551;UDP;HECMTL-DB
pciarray;1552;TCP;pciarray
pciarray;1552;UDP;pciarray
sna-cs;1553;TCP;sna-cs
sna-cs;1553;UDP;sna-cs
caci-lm;1554;TCP;CACI Products Company License Manager
caci-lm;1554;UDP;CACI Products Company License Manager
livelan;1555;TCP;livelan
livelan;1555;UDP;livelan
veritas-pbx;1556;TCP;VERITAS Private Branch Exchange
veritas_pbx;1556;TCP;VERITAS Private Branch Exchange
veritas-pbx;1556;UDP;VERITAS Private Branch Exchange
veritas_pbx;1556;UDP;VERITAS Private Branch Exchange
arbortext-lm;1557;TCP;ArborText License Manager
arbortext-lm;1557;UDP;ArborText License Manager
xingmpeg;1558;TCP;xingmpeg
xingmpeg;1558;UDP;xingmpeg
web2host;1559;TCP;web2host
web2host;1559;UDP;web2host
asci-val;1560;TCP;ASCI-RemoteSHADOW
asci-val;1560;UDP;ASCI-RemoteSHADOW
facilityview;1561;TCP;facilityview
facilityview;1561;UDP;facilityview
pconnectmgr;1562;TCP;pconnectmgr
pconnectmgr;1562;UDP;pconnectmgr
cadabra-lm;1563;TCP;Cadabra License Manager
cadabra-lm;1563;UDP;Cadabra License Manager
pay-per-view;1564;TCP;Pay-Per-View
pay-per-view;1564;UDP;Pay-Per-View
winddlb;1565;TCP;WinDD
winddlb;1565;UDP;WinDD
corelvideo;1566;TCP;CORELVIDEO
corelvideo;1566;UDP;CORELVIDEO
jlicelmd;1567;TCP;jlicelmd
jlicelmd;1567;UDP;jlicelmd
tsspmap;1568;TCP;tsspmap
tsspmap;1568;UDP;tsspmap
ets;1569;TCP;ets
ets;1569;UDP;ets
orbixd;1570;TCP;orbixd
orbixd;1570;UDP;orbixd
rdb-dbs-disp;1571;TCP;Oracle Remote Data Base
rdb-dbs-disp;1571;UDP;Oracle Remote Data Base
chip-lm;1572;TCP;Chipcom License Manager
chip-lm;1572;UDP;Chipcom License Manager
itscomm-ns;1573;TCP;itscomm-ns
itscomm-ns;1573;UDP;itscomm-ns
mvel-lm;1574;TCP;mvel-lm
mvel-lm;1574;UDP;mvel-lm
oraclenames;1575;TCP;oraclenames
oraclenames;1575;UDP;oraclenames
moldflow-lm;1576;TCP;Moldflow License Manager
moldflow-lm;1576;UDP;Moldflow License Manager
hypercube-lm;1577;TCP;hypercube-lm
hypercube-lm;1577;UDP;hypercube-lm
jacobus-lm;1578;TCP;Jacobus License Manager
jacobus-lm;1578;UDP;Jacobus License Manager
ioc-sea-lm;1579;TCP;ioc-sea-lm
ioc-sea-lm;1579;UDP;ioc-sea-lm
tn-tl-r1;1580;TCP;tn-tl-r1
tn-tl-r2;1580;UDP;tn-tl-r2
mil-2045-47001;1581;TCP;MIL-2045-47001
mil-2045-47001;1581;UDP;MIL-2045-47001
msims;1582;TCP;MSIMS
msims;1582;UDP;MSIMS
simbaexpress;1583;TCP;simbaexpress
simbaexpress;1583;UDP;simbaexpress
tn-tl-fd2;1584;TCP;tn-tl-fd2
tn-tl-fd2;1584;UDP;tn-tl-fd2
intv;1585;TCP;intv
intv;1585;UDP;intv
ibm-abtact;1586;TCP;ibm-abtact
ibm-abtact;1586;UDP;ibm-abtact
pra-elmd;1587;TCP;pra_elmd
pra_elmd;1587;TCP;pra_elmd
pra-elmd;1587;UDP;pra_elmd
pra_elmd;1587;UDP;pra_elmd
triquest-lm;1588;TCP;triquest-lm
triquest-lm;1588;UDP;triquest-lm
vqp;1589;TCP;VQP
vqp;1589;UDP;VQP
gemini-lm;1590;TCP;gemini-lm
gemini-lm;1590;UDP;gemini-lm
ncpm-pm;1591;TCP;ncpm-pm
ncpm-pm;1591;UDP;ncpm-pm
commonspace;1592;TCP;commonspace
commonspace;1592;UDP;commonspace
mainsoft-lm;1593;TCP;mainsoft-lm
mainsoft-lm;1593;UDP;mainsoft-lm
sixtrak;1594;TCP;sixtrak
sixtrak;1594;UDP;sixtrak
radio;1595;TCP;radio
radio;1595;UDP;radio
radio-sm;1596;TCP;radio-sm
radio-bc;1596;UDP;radio-bc
orbplus-iiop;1597;TCP;orbplus-iiop
orbplus-iiop;1597;UDP;orbplus-iiop
picknfs;1598;TCP;picknfs
picknfs;1598;UDP;picknfs
simbaservices;1599;TCP;simbaservices
simbaservices;1599;UDP;simbaservices
issd;1600;TCP;issd
issd;1600;UDP;issd
aas;1601;TCP;aas
aas;1601;UDP;aas
inspect;1602;TCP;inspect
inspect;1602;UDP;inspect
picodbc;1603;TCP;pickodbc
picodbc;1603;UDP;pickodbc
icabrowser;1604;TCP;icabrowser
icabrowser;1604;UDP;icabrowser
slp;1605;TCP;Salutation Manager (Salutation Protocol)
slp;1605;UDP;Salutation Manager (Salutation Protocol)
slm-api;1606;TCP;Salutation Manager (SLM-API)
slm-api;1606;UDP;Salutation Manager (SLM-API)
stt;1607;TCP;stt
stt;1607;UDP;stt
smart-lm;1608;TCP;Smart Corp. License Manager
smart-lm;1608;UDP;Smart Corp. License Manager
isysg-lm;1609;TCP;isysg-lm
isysg-lm;1609;UDP;isysg-lm
taurus-wh;1610;TCP;taurus-wh
taurus-wh;1610;UDP;taurus-wh
ill;1611;TCP;Inter Library Loan
ill;1611;UDP;Inter Library Loan
netbill-trans;1612;TCP;NetBill Transaction Server
netbill-trans;1612;UDP;NetBill Transaction Server
netbill-keyrep;1613;TCP;NetBill Key Repository
netbill-keyrep;1613;UDP;NetBill Key Repository
netbill-cred;1614;TCP;NetBill Credential Server
netbill-cred;1614;UDP;NetBill Credential Server
netbill-auth;1615;TCP;NetBill Authorization Server
netbill-auth;1615;UDP;NetBill Authorization Server
netbill-prod;1616;TCP;NetBill Product Server
netbill-prod;1616;UDP;NetBill Product Server
nimrod-agent;1617;TCP;Nimrod Inter-Agent Communication
nimrod-agent;1617;UDP;Nimrod Inter-Agent Communication
skytelnet;1618;TCP;skytelnet
skytelnet;1618;UDP;skytelnet
xs-openstorage;1619;TCP;xs-openstorage
xs-openstorage;1619;UDP;xs-openstorage
faxportwinport;1620;TCP;faxportwinport
faxportwinport;1620;UDP;faxportwinport
softdataphone;1621;TCP;softdataphone
softdataphone;1621;UDP;softdataphone
ontime;1622;TCP;ontime
ontime;1622;UDP;ontime
jaleosnd;1623;TCP;jaleosnd
jaleosnd;1623;UDP;jaleosnd
udp-sr-port;1624;TCP;udp-sr-port
udp-sr-port;1624;UDP;udp-sr-port
svs-omagent;1625;TCP;svs-omagent
svs-omagent;1625;UDP;svs-omagent
shockwave;1626;TCP;Shockwave
shockwave;1626;UDP;Shockwave
t128-gateway;1627;TCP;T.128 Gateway
t128-gateway;1627;UDP;T.128 Gateway
lontalk-norm;1628;TCP;LonTalk normal
lontalk-norm;1628;UDP;LonTalk normal
lontalk-urgnt;1629;TCP;LonTalk urgent
lontalk-urgnt;1629;UDP;LonTalk urgent
oraclenet8cman;1630;TCP;Oracle Net8 Cman
oraclenet8cman;1630;UDP;Oracle Net8 Cman
visitview;1631;TCP;Visit view
visitview;1631;UDP;Visit view
pammratc;1632;TCP;PAMMRATC
pammratc;1632;UDP;PAMMRATC
pammrpc;1633;TCP;PAMMRPC
pammrpc;1633;UDP;PAMMRPC
loaprobe;1634;TCP;Log On America Probe
loaprobe;1634;UDP;Log On America Probe
edb-server1;1635;TCP;EDB Server 1
edb-server1;1635;UDP;EDB Server 1
